Inclui transações da Amazon Marketplace; Fulfillment by Amazon (FBA); e Amazon Webstore;;;;;;;;;;;;;;;;;;;;
Todas as quantias em BRL; a menos que especificado;;;;;;;;;;;;;;;;;;;;;
Definições:;;;;;;;;;;;;;;;;;;;;;;
Imposto de vendas coletados: Inclui impostos sobre vendas coletados de compradores para vendas de produtos; envio e embalagem para presente.;;;;;;;;;;;;;;;;;;;;;
Tarifas de venda: Inclui tarifas de fechamento variável e tarifas de referência.;;;;;;;;;;;;;;;;;;;;;;
Outras taxas de transação: Inclui cobranças retroativas de envio; retenção de envi; taxas por item e taxas de coleta de impostos de vendas.;;;;;;;;;;;;;;;;;;;;
Outros: Inclui quantias de transação não relacionadas a pedidos. Para obter mais detalhes;" consulte as colunas ""Tipo"" e ""Descrição"" para cada ID de pedido.";;;;;;;;;;;;;;;;;;;;;
data/hora;id de liquidação;tipo;id do pedido;sku;descrição;quantidade;mercado;tipo de conta;atendimento;cidade do pedido;estado do pedido;postal do pedido;vendas do produto;créditos de remessa;créditos de embalagem de presente;descontos promocionais;imposto de vendas coletados;tarifas de venda;taxas fba;taxas de outras transações;outro;total
4 de jan. de 2026 07:24:45 GMT-8;25296870171;Pedido;702-7348534-1623452;698923;Orando as promessas de Deus: Uma promessa de Deus para cada dia do ano;1;amazon.com.br;Visa Crédito;Vendedor;Londrina;PR;86047;51,9;0;0;0;0;-7,79;0;0;0;44,11
4 de jan. de 2026 07:31:00 GMT-8;25296870171;Pedido;702-5047340-9484235;698883;Mães da aliança 2026: Orando pelos filhos com base nas promessas de Deus;1;amazon.com.br;Visa Crédito;Vendedor;Niterói;RJ;24340;99,9;0;0;0;0;-14,99;0;0;0;84,91
4 de jan. de 2026 07:35:39 GMT-8;25296870171;Pedido;701-1537198-3109822;698883;Mães da aliança 2026: Orando pelos filhos com base nas promessas de Deus;1;amazon.com.br;Visa Crédito;Vendedor;Birigui;São Paulo;16200;99,9;0;0;0;0;-14,99;0;0;0;84,91
4 de jan. de 2026 09:49:39 GMT-8;25241916271;Pedido;701-7993119-6609838;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Crédito Mastercard e outros;Vendedor;Recife;PE;50720;89,9;0;0;0;0;-13,49;0;0;0;76,41
5 de jan. de 2026 00:51:54 GMT-8;25242028381;Pedido;702-9141519-6143428;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Boleto;Vendedor;Belo Horizonte;Minas Gerais;31270;89,9;0;0;0;0;-13,49;0;0;0;76,41
5 de jan. de 2026 01:42:35 GMT-8;25241916271;Pedido;702-8109429-2867430;698923;Orando as promessas de Deus: Uma promessa de Deus para cada dia do ano;1;amazon.com.br;Crédito Mastercard e outros;Vendedor;Itaguaí;Rio de Janeiro;23810;51,9;0;0;0;0;-7,79;0;0;0;44,11
5 de jan. de 2026 02:53:19 GMT-8;25296870171;Pedido;701-7279662-5103467;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Visa Crédito;Vendedor;Vitória;ES;29092;89,9;0;0;0;0;-13,49;0;0;0;76,41
5 de jan. de 2026 03:41:58 GMT-8;25242028381;Pedido;701-1687186-8655456;698923;Orando as promessas de Deus: Uma promessa de Deus para cada dia do ano;1;amazon.com.br;Boleto;Vendedor;Curitiba;PR;82010;51,9;0;0;0;0;-7,79;0;0;0;44,11
5 de jan. de 2026 05:37:49 GMT-8;25242028381;Pedido;701-4374023-6924246;698923;Orando as promessas de Deus: Uma promessa de Deus para cada dia do ano;1;amazon.com.br;Boleto;Vendedor;Brasília;DF;71915;51,9;0;0;0;0;-7,79;0;0;0;44,11
5 de jan. de 2026 06:08:16 GMT-8;25242028381;Pedido;701-6661018-2151440;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Boleto;Vendedor;Vitória;ES;29050;89,9;0;0;0;0;-13,49;0;0;0;76,41
